config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f600_w0.1_k32-32_e25.6,72,0.12014834523905926,0.24105395089445864,0.8240672736996465,0.9963774028545338,24.193036715190473,1.1110124035527789,0.20371838254336222,83682.96254693455,0.3186513991060839,-0.16494207239985265
f0_w0.1_k32-32_e25.6,72,0.12014846139877183,0.2410558822861048,0.8240479348314349,0.9963793730325167,24.19318271838993,1.11101070495929,0.20371981931244199,83683.3175012181,0.318651447778029,-0.16493761022049194
f1200_w0.1_k32-32_e25.6,72,0.11631189263824554,0.2429659593455928,0.8240795073547773,0.9970777051423747,24.367805848281325,1.1105095131605733,0.20402928589336208,82889.01360597144,0.31882155249901706,-0.1686358200650554
f0_w0.45_k12-12_e9.6,72,0.14476685217549146,0.26235355174642794,0.7326049712376062,0.9983908145472724,26.27764077190494,1.0703647145677335,0.22054643639891555,114410.16539763311,0.3210455016859458,-0.0422627257391713
f600_w0.45_k12-12_e9.6,72,0.14476304675542184,0.26235394737523954,0.7326051937074226,0.9983883490265064,26.2777452913039,1.0703647714466145,0.2205467703494361,114410.23360930079,0.321047358253668,-0.042262340893778894
f0_w0.45_k8-24_e8,72,0.14643271734396623,0.26338188258522954,0.7836582970097059,0.9969669132683312,26.41831730621746,1.071900464591673,0.22154410486262568,114425.2251658582,0.32382535013064206,-0.04645364889197923
f600_w0.1_k16-16_e12.8,72,0.14125250571059522,0.24330473279234896,0.614186659809618,0.9811446297029089,24.752580577988017,1.0908981779781612,0.20941437096965582,89912.6750404651,0.3243142088213256,-0.09602985791048045
f0_w0.1_k16-16_e12.8,72,0.14124917523638797,0.2433067874836391,0.6141855117479007,0.9811441604088662,24.752784228160085,1.0908959756313419,0.2094159181822733,89913.55520691663,0.32431549489575884,-0.09602471196229719
f600_w0.45_k8-24_e8,72,0.14643018013406855,0.2635807206985708,0.783656159062028,0.9969632159704375,26.43835965823504,1.073342947079301,0.22202534023773182,115752.12525573844,0.32503095546777167,-0.04757278867733267
f1800_w0.1_k32-32_e25.6,72,0.12458553216083268,0.25014023065480373,0.8241276709460984,0.9985592338338729,25.05011442279836,1.116447561096706,0.20703217503335372,83082.17065304771,0.3254542756107689,-0.18493471051303192
f600_w0.25_k12-12_e9.6,72,0.1438400381414155,0.25370840858185406,0.7746502702080253,0.9871333632728005,25.635709216062192,1.086615669319748,0.21335911949389808,102653.64575087068,0.3254574447247155,-0.06594346509472679
f0_w0.25_k12-12_e9.6,72,0.14383977604347986,0.25370993326420027,0.7746499377738469,0.987130727435583,25.635881762959023,1.0866131764778493,0.21336058131964164,102653.95788718486,0.3254595259480068,-0.06593967302649903
f2400_w0.1_k32-32_e25.6,72,0.11784732944326853,0.2501440400627899,0.8975984168483337,1.0066855047644103,24.830998012639135,1.1191902049500075,0.2046196590599647,82924.71473777053,0.3263314782840044,-0.19415124954406107
f0_w0.1_k12-12_e9.6,72,0.14165695274941037,0.25357767571272977,0.7836020759181869,0.9810221128661866,25.769063643712126,1.0798817187664405,0.21518999402668074,95352.26512570957,0.32761855013622726,-0.07696866484040206
f600_w0.1_k12-12_e9.6,72,0.14166378349426734,0.2538075983169618,0.783602319786168,0.9810208347147873,25.792535662772952,1.0800111588086252,0.21538757898759003,95364.04021052677,0.32793539550146666,-0.07726351259289167
f600_w0.25_k12-36_e12,72,0.14348083770753467,0.2628414292348441,0.8646459092910252,0.9994605976834667,26.298328302691836,1.0989607723044903,0.2167975563942716,102557.34918110192,0.32999564147114213,-0.11568749443442258
f0_w0.25_k12-36_e12,72,0.14348280066697267,0.26287238770928745,0.8646453674216072,0.9994608214173869,26.301419933249065,1.0989657372709818,0.21682533504163123,102558.70040011233,0.3300332961995577,-0.11569352032745259
f600_w0.1_k24-24_e19.2,72,0.1312110005765923,0.24618076970474703,0.7934408054821954,0.9827149305074976,24.96288780414101,1.1069703302806706,0.20862914110823397,86146.47848478181,0.33056788653334646,-0.15199874666343582
f0_w0.1_k24-24_e19.2,72,0.13120915892554313,0.24618181271322065,0.793438773306073,0.9827112162756556,24.96321172126989,1.1069687986719736,0.20862951104460303,86147.28324388705,0.33057026424449165,-0.1519947968677185
