__finalidade_crawler_normalizada,Guia ITBI,Oferta
,45544,2110
APARTAMENTO,53898,319699
CASA / RESIDÊNCIA,15978,130611
COBERTURA,1693,18176
CONSTRUÇÃO EM ÁREA DE GLEBA,188,58
FLAT / APART-HOTEL,250,21
GALPÃO / DEPÓSITO,399,2158
GARAGEM / VAGA,122,815
GARAGEM / VAGA NÃO RESIDENCIAL,3902,3456
GARAGEM / VAGA RESIDENCIAL,23501,486
GLEBA,282,3189
HOTEL,117,21
IMÓVEL COMERCIAL,1515,4926
IMÓVEL ESPECIAL,102,72
LOJA,1118,8288
LOJA EM GALERIA,309,441
LOJA EM SHOPPING,45,11
SALA COMERCIAL,6535,44428
TERRENO,3622,32160
