purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
TERRENO,baseline,teste_reservado,164842,2026-08-28,100056290,-3351|-4930,vila nova,1419.04,324000.0,2977863.2230986264,12,11.999792592776764,200.0,97,0.0,,9.190935873761193,8.190935873761193
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,166272,2026-09-14,100011760,-3341|-4934,cidade baixa,11.5,5000.0,43000.126344689714,7,5.720728424765045,150.0,2612,0.2,,8.600025268937943,7.600025268937943
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,164319,2026-09-01,8618801,-3340|-4934,centro historic,31.0,5000.0,39399.8482713998,7,6.957690462147799,150.0,2612,0.2,,7.87996965427996,6.87996965427996
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,165959,2026-09-10,5473624,-3338|-4922,jar leopoldina,13.5,3000.0,22841.73140825236,7,6.459118553231284,200.0,17117,0.0374643698062107,,7.613910469417453,6.613910469417453
CASA / RESIDÊNCIA,baseline,teste_reservado,166226,2026-09-11,2156032,-3341|-4929,petropolis,267.0,233333.33,1763650.2238824363,5,5.0,800.0,16815,0.1487989829969808,,7.558501067474743,6.558501067474743
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,163229,2026-08-25,6144926,-3342|-4930,jardim botanico,12.0,5034.21,36644.30275643536,7,5.5012013656993,200.0,17117,0.0374643698062107,,7.279057241639773,6.279057241639773
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,164326,2026-08-31,10043144,-3338|-4927,passo da areia,10.58,7000.0,50902.496615932,7,6.638011460302643,200.0,17117,0.0374643698062107,,7.271785230847429,6.271785230847429
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,165409,2026-09-08,8204136,-3342|-4932,santana,23.25,8000.0,55496.71196737503,7,6.832008391197658,200.0,17117,0.0374643698062107,,6.937088995921878,5.937088995921878
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,165912,2026-09-04,100051058,-3340|-4931,rio branco,10.58,5600.0,38842.226228388,7,6.958328459119964,200.0,17117,0.0374643698062107,,6.936111826497856,5.936111826497856
CASA / RESIDÊNCIA,baseline,teste_reservado,164854,2026-08-31,2300532,-3348|-4934,cavalhada,65.0,61000.0,410807.5477245054,5,5.0,800.0,16815,0.1487989829969808,,6.734549962696811,5.734549962696811
TERRENO,baseline,teste_reservado,162604,2026-08-19,100050408,-3354|-4933,guaruja,304.0,70680.0,471097.4324751636,12,11.959016378748364,200.0,97,0.0,,6.665215513230951,5.665215513230951
APARTAMENTO,baseline,teste_reservado,160430,2026-08-07,10700692,-3341|-4929,petropolis,124.54,182000.0,1189822.8198260476,21,11.24256243867415,1200.0,96700,0.2,,6.53748802102224,5.53748802102224
TERRENO,baseline,teste_reservado,163626,2026-08-27,1029215,-3335|-4925,sarandi,300.0,62500.0,401704.1615793667,12,11.837306505115455,200.0,97,0.0,,6.427266585269868,5.427266585269868
CASA / RESIDÊNCIA,baseline,teste_reservado,162970,2026-08-21,380318,-3342|-4933,menino deus,78.0,75000.0,464726.1651257874,5,5.0,800.0,16815,0.1487989829969808,,6.196348868343832,5.196348868343832
