finalidade,periodo,piso_fixo,linhas_itbi,area_ausente_ou_invalida,coordenada_fora_janela,imoveis_elegiveis_antes_piso,imoveis_elegiveis_apos_piso,casos_antes_abaixo_piso
APARTAMENTO,tres_anos,1200.0,53898,52,2176,38016,35997,2181
APARTAMENTO,teste,1200.0,2490,4,91,2069,1907,165
CASA / RESIDÊNCIA,tres_anos,800.0,15978,1,348,10253,9035,1296
CASA / RESIDÊNCIA,teste,800.0,726,0,8,578,492,88
COBERTURA,tres_anos,900.0,1693,4,12,1186,1131,59
COBERTURA,teste,900.0,97,0,0,83,75,8
CONSTRUÇÃO EM ÁREA DE GLEBA,tres_anos,100.0,188,0,17,37,1,36
CONSTRUÇÃO EM ÁREA DE GLEBA,teste,100.0,2,0,0,1,0,1
FLAT / APART-HOTEL,tres_anos,1200.0,250,0,30,133,131,2
FLAT / APART-HOTEL,teste,1200.0,14,0,2,11,11,0
GALPÃO / DEPÓSITO,tres_anos,650.0,399,0,2,228,163,69
GALPÃO / DEPÓSITO,teste,650.0,15,0,0,12,8,4
GARAGEM / VAGA,tres_anos,150.0,122,10,0,47,44,6
GARAGEM / VAGA,teste,150.0,2,0,0,2,2,0
GARAGEM / VAGA NÃO RESIDENCIAL,tres_anos,150.0,3902,1,122,2516,2492,26
GARAGEM / VAGA NÃO RESIDENCIAL,teste,150.0,132,0,3,80,80,0
GARAGEM / VAGA RESIDENCIAL,tres_anos,200.0,23501,7,795,17276,17209,84
GARAGEM / VAGA RESIDENCIAL,teste,200.0,1107,2,36,942,940,2
GLEBA,tres_anos,20.0,282,0,68,93,27,67
GLEBA,teste,20.0,17,0,2,10,4,6
HOTEL,tres_anos,400.0,117,0,0,48,46,2
HOTEL,teste,400.0,12,0,0,4,3,1
IMÓVEL COMERCIAL,tres_anos,850.0,1515,260,27,747,553,203
IMÓVEL COMERCIAL,teste,850.0,49,11,0,29,22,7
IMÓVEL ESPECIAL,tres_anos,400.0,102,0,2,58,47,11
IMÓVEL ESPECIAL,teste,400.0,4,0,0,4,4,0
LOJA,tres_anos,700.0,1118,16,12,731,616,119
LOJA,teste,700.0,44,1,1,38,34,4
LOJA EM GALERIA,tres_anos,1000.0,309,7,0,195,158,38
LOJA EM GALERIA,teste,1000.0,19,3,0,13,13,0
LOJA EM SHOPPING,tres_anos,1200.0,45,0,0,23,4,19
LOJA EM SHOPPING,teste,1200.0,0,0,0,0,0,0
SALA COMERCIAL,tres_anos,900.0,6535,4,412,4044,3706,355
SALA COMERCIAL,teste,900.0,346,0,24,268,228,40
TERRENO,tres_anos,200.0,3622,9,189,1758,1465,327
TERRENO,teste,200.0,116,0,6,88,77,13
