finalidade,config,estrato,grupo,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
APARTAMENTO,baseline,periodo_ou_espaco,validacao_1,90,0.18373533933426173,0.32408676251962354,0.8120752511925458,1.0027181618643748,32.320823023394944,1.0870081504214872,0.26021587370751575,117026.13798612995,0.3840897215369511,-0.0363950883584558
APARTAMENTO,baseline,periodo_ou_espaco,validacao_2,90,0.17491054825155145,0.23396536626655806,0.4673863208579409,0.9373291238719198,24.615857010917853,1.1077426804750592,0.2188412667253503,286806.9203630782,0.3639034738204676,-0.03693946055979875
APARTAMENTO,baseline,periodo_ou_espaco,validacao_3,90,0.12579228150548383,0.23997110542029454,0.4291914326364851,0.9379339093697234,24.70559114652366,1.1021918553602108,0.21039069518326675,174927.49539326027,0.3528429653260591,-0.06465989243594553
APARTAMENTO,f0_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_1,90,0.19353038682289586,0.3357505023198587,0.933301559305311,0.9751094456784313,34.328733182769646,1.1051755407106603,0.2739322808374447,106010.08737707837,0.42235898630965646,-0.06563369611500419
APARTAMENTO,f0_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_2,90,0.17128268251521345,0.2246229360054283,0.4422525042109501,0.9448864959179875,23.26870620752512,1.0653423766916243,0.20884486670708763,164278.57424047904,0.32700998062646386,-0.03315687658526922
APARTAMENTO,f0_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_3,90,0.13645973649873838,0.2350144236651633,0.4268656437389292,0.9590184647663482,24.075268629187697,1.0892937967383178,0.20812906213216817,164625.05249267493,0.3320045054366986,-0.04412957647623451
APARTAMENTO,f1200_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_1,90,0.19353047234829424,0.33574061891022183,0.9332973104366223,0.9751096782537231,34.327711796666534,1.1051789883813348,0.2739177343178419,106009.80336292958,0.42234332685057496,-0.06565400641249491
APARTAMENTO,f1200_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_2,90,0.17128268260546692,0.225641089356558,0.44225252324301884,0.9448864205505527,23.37645723205943,1.08252773174658,0.21019591734034165,209163.19190801686,0.3366317341271823,-0.03845903571458887
APARTAMENTO,f1200_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_3,90,0.1364589164461456,0.2353345909951501,0.4268656437389292,0.9590184547928078,24.108655725563697,1.0894917962537831,0.20834398328232892,164652.26794391323,0.33239377561783845,-0.04430160655123838
APARTAMENTO,f1800_w0.1_k32-32_e25.6,periodo_ou_espaco,validacao_1,90,0.19353048273075996,0.3344857830653669,0.9332970702179375,0.975110263853821,34.1990369523381,1.1053764795919794,0.27240125093531,105945.4986761776,0.42059419616733607,-0.06689133896593911
