config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f150_w0.25_k48-48_e38.4,72,0.46527289788892623,1.4299038478414328,1.971614881230721,1.4249097923307001,95.95676455380604,1.907752533682022,0.5754767498205092,17169.999719487132,1.3153858478928266,-1.5824110045468291
f0_w0.25_k48-48_e38.4,72,0.46527289788892623,1.4299143411012147,1.9716821733991616,1.4249097923307001,95.95710546524761,1.907744262747942,0.5754804853814681,17169.966209373175,1.3153882680109834,-1.5824067230764582
f75_w0.25_k48-48_e38.4,72,0.46527289788892623,1.4299175596900733,1.9716821733991616,1.4249097923307001,95.95733134543146,1.907756591702225,0.5754850973142057,17170.3286582851,1.3153966759248836,-1.582427317742256
f225_w0.25_k48-48_e38.4,72,0.4817907047088943,1.431921520196394,1.971086201703226,1.4331686957406844,95.50995443886099,1.9075415925969894,0.576675500112168,17195.01640155355,1.3183019625619123,-1.5801648243503295
f150_w0.1_k32-32_e25.6,72,0.47804504557465277,1.4033363629022781,2.0841759724060682,1.4215322390970204,94.51976341381203,1.90390155751621,0.59349172944781,16158.529319428842,1.327611419747928,-1.8330796060350614
f0_w0.1_k32-32_e25.6,72,0.47804504557465277,1.4033487816586596,2.084247304014478,1.4215322390970204,94.52009863644074,1.903893175753964,0.5934967057627397,16158.53682387863,1.3276150329077485,-1.8330724739262243
f75_w0.1_k32-32_e25.6,72,0.47804504557465277,1.4033513918421407,2.084247304014478,1.4215322390970204,94.52028225404781,1.9039033444721392,0.5935007444059404,16158.902483137841,1.3276222010943282,-1.8330928683289878
f225_w0.1_k32-32_e25.6,72,0.481880440229448,1.4085336584746417,2.0836821917764863,1.4215322390970204,94.82450340844886,1.9045509206772715,0.596037022146019,16191.999493290496,1.3310890682145584,-1.8517033100593197
f75_w0.1_k48-48_e38.4,72,0.4871669881086733,1.4380708333837344,2.057206655047307,1.4275251193166896,95.74029694417038,1.916478838965951,0.5984750397616938,16997.55990482588,1.3410416938172751,-1.6992838236037129
f0_w0.1_k48-48_e38.4,72,0.4871669881086733,1.4380712647618,2.057206655047307,1.4275251193166896,95.74032716276756,1.9164805177922728,0.5984757329749724,16997.621254441765,1.3410429005744697,-1.6992868328450703
f150_w0.1_k48-48_e38.4,72,0.4871669881086733,1.4380776294790223,2.057303686949443,1.4275251193166896,95.74172925772262,1.9164898780165482,0.5984742043275992,16997.718498792165,1.341047319193331,-1.6993090643098323
f150_w0.1_k24-24_e19.2,72,0.4761328759006741,1.4427786693080051,2.0223781783726182,1.4381408092275603,96.1631592306134,1.939752760695623,0.589870765859402,15940.76922599284,1.3432345122881082,-1.7930491402866027
f0_w0.1_k24-24_e19.2,72,0.4761328759006741,1.4427886582910832,2.0223781783726182,1.4381408092275603,96.16348349968669,1.939743730691829,0.589874084313978,15940.728500384215,1.3432363137927457,-1.7930423892686025
f75_w0.1_k24-24_e19.2,72,0.4761328759006741,1.4427920591704626,2.0223781783726182,1.4381408092275603,96.16371997718302,1.9397573331303037,0.5898789308449464,15941.135777616752,1.3432452577514398,-1.793068434480237
f225_w0.1_k48-48_e38.4,72,0.4908331067317221,1.4426945773618733,2.0566821857848936,1.4311912379397382,95.78836387689242,1.9163105392471258,0.6004684467352618,17028.258871680348,1.3443937935690968,-1.7104972091060893
f300_w0.25_k48-48_e38.4,72,0.4767678330802543,1.47641675368318,2.5018828231892787,1.4767678330802543,95.13820637591449,1.914373142924814,0.5889344971991453,17682.29003426208,1.3464030289212492,-1.5711935475170307
f225_w0.1_k24-24_e19.2,72,0.4796246959523133,1.4473813304429262,2.0883178795419357,1.4381408092275603,95.98353774618919,1.9364890674118522,0.5950470080215213,15997.357854947231,1.3471197269409025,-1.8289886731154767
f0_w0.6_k24-24_e19.2,72,0.4538888566020834,1.5546065359082841,2.430917346222974,1.2729578098525125,116.15418552250867,1.9520718721666326,0.6064643595585921,19225.91584697806,1.3519670652633347,-1.846467517725654
f150_w0.6_k24-24_e19.2,72,0.4538888566020834,1.5551548945020481,2.430917346222974,1.2729578098525125,116.19790002208579,1.9532344748521724,0.6071821996791477,19242.91951346249,1.353091889845618,-1.848271681469753
f75_w0.6_k24-24_e19.2,72,0.4538888566020834,1.5551620204675207,2.430917346222974,1.2729578098525125,116.1978228335756,1.9532424704978373,0.6071908142371913,19243.371986537146,1.3531023581987631,-1.8482889515293885
f225_w0.6_k32-32_e25.6,72,0.38806855157435555,1.5504606675506372,2.566836879533534,1.262872119272854,117.74936223201536,1.9692424006622304,0.603763876199084,19238.597815006888,1.353656025413851,-1.7885327715288208
f0_w0.25_k24-24_e19.2,72,0.4677663441500908,1.460774579666395,2.1697071031211825,1.4677663441500908,94.59588492772525,1.9355930457045467,0.5953301372758548,17624.391718169605,1.3538976068487947,-1.7206503378569658
f150_w0.25_k24-24_e19.2,72,0.4677663441500908,1.4607704682618332,2.1697071031211825,1.4677663441500908,94.59560717107807,1.935600792974246,0.5953308199190563,17624.562570897157,1.3538995963614935,-1.720655971646567
f75_w0.25_k24-24_e19.2,72,0.4677663441500908,1.4607789181023583,2.1697071031211825,1.4677663441500908,94.59618050855667,1.935610109751407,0.5953364769769257,17624.88902994227,1.3539090934459799,-1.7206805637394051
f0_w0.6_k32-32_e25.6,72,0.38806855157435555,1.548958890558674,2.4915081029107853,1.2636188856822024,117.73489991323815,1.9696269517776936,0.6042480247286695,19206.37667744138,1.3544972225149718,-1.7708250608726661
f225_w0.6_k24-24_e19.2,72,0.4538888566020834,1.5576324491526596,2.4655605977580577,1.2729578098525125,116.27734242265385,1.9534440289769854,0.6084019461914638,19260.92094044051,1.3545638823312147,-1.8531685207800093
f150_w0.6_k32-32_e25.6,72,0.388131012123358,1.5490766155879339,2.4915081029107853,1.2636188856822024,117.74499238888578,1.9698980436774538,0.6044100050820438,19210.90776707625,1.354753247404379,-1.7712080597735245
f75_w0.6_k32-32_e25.6,72,0.3881933409704852,1.5490828091712083,2.4915081029107853,1.2636188856822024,117.74470655778408,1.9699052835889936,0.6044191995811063,19211.34130875647,1.3547635649584162,-1.7712227898151793
f300_w0.45_k48-48_e38.4,72,0.38550346207133623,1.5309269744598895,2.5212000096458755,1.3855034620713362,105.20471116465173,1.9510084672254213,0.5967712465322282,18790.422583407235,1.3569880172833617,-1.6436152428898971
