config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f300_w0.6_k48-48_e38.4,72,0.3348781633799957,0.8710975955446192,1.5062247732930814,1.0724018022018607,80.99937567877276,0.6463242788743231,0.4729265656831456,636037.5002216335,0.9286023695686858,0.3596587457813024
f225_w0.666667_k48-48_e38.4,72,0.33351006444074405,0.8727869139408864,1.5109253963717415,1.0686622945989812,81.41195113414842,0.6459919727516489,0.4756601901423664,636041.9468524398,0.9308780058407866,0.3627002968308676
f300_w0.45_k48-48_e38.4,72,0.38230064650404083,0.8765720675248523,1.5430482969105836,1.0978460718852245,78.86567395956193,0.6531596229645394,0.47434332321705874,636002.1778386276,0.9311494469741803,0.32403645292734146
f0_w0.666667_k48-48_e38.4,72,0.33348975555573834,0.8736746752635132,1.5109253963717415,1.0686622945989812,81.49502333825946,0.645929217775196,0.47694677838373856,636044.2020238306,0.932420849518649,0.36310182250865763
f75_w0.666667_k48-48_e38.4,72,0.33348975555573834,0.8736746752635132,1.5109253963717415,1.0686622945989812,81.49502333825946,0.645929217775196,0.47694677838373856,636044.2020238306,0.932420849518649,0.36310182250865763
f225_w0.45_k48-48_e38.4,72,0.38777588635560023,0.860940711542111,1.5871028438681158,1.1185503501803027,76.22406569861732,0.6487321025343854,0.4697376647437297,635962.7147562904,0.9326823036103709,0.30946100019965767
f150_w0.666667_k48-48_e38.4,72,0.33348975555573834,0.8743957524225482,1.510529761519674,1.0686622945989812,81.56183418586045,0.6459347832507113,0.4780067655975498,636044.8183520111,0.9336435557543945,0.36341922317390774
f225_w0.6_k48-48_e38.4,72,0.32401905952392857,0.8550013125686409,1.5172547425839005,1.1229731198334187,75.73391011254684,0.6424651288517227,0.46550351461150147,636022.0383721861,0.9340495285338085,0.3295484407086726
f150_w0.45_k48-48_e38.4,72,0.38777588635560023,0.8641934511158944,1.5867807533640905,1.1171754088503953,76.58287522736636,0.6494428209152279,0.4716728568418329,635966.0996211377,0.9343520577721174,0.31098056286946996
f0_w0.45_k48-48_e38.4,72,0.38777588635560023,0.8641814902062208,1.5871028438681158,1.1171754088503953,76.58180458889913,0.6494715222004239,0.4717037061899592,635966.5747853889,0.9343581341592515,0.31096257145628486
f75_w0.45_k48-48_e38.4,72,0.38777588635560023,0.8641814902062208,1.5871028438681158,1.1171754088503953,76.58180458889913,0.6494715222004239,0.4717037061899592,635966.5747853889,0.9343581341592515,0.31096257145628486
f0_w0.6_k48-48_e38.4,72,0.32404325679940627,0.85794992580256,1.5172547425839005,1.1229731198334187,75.99648213513956,0.6430026646982915,0.4674512707987108,636025.5817455379,0.9362355511481988,0.33048669731151104
f75_w0.6_k48-48_e38.4,72,0.32404325679940627,0.85794992580256,1.5172547425839005,1.1229731198334187,75.99648213513956,0.6430026646982915,0.4674512707987108,636025.5817455379,0.9362355511481988,0.33048669731151104
f150_w0.6_k48-48_e38.4,72,0.3240654165033522,0.8652605947371375,1.5169249214019203,1.1229731198334187,76.64721938985453,0.645398602304944,0.46935718705869395,636029.667134236,0.9379086877474078,0.33208583278688264
f300_w0.666667_k48-48_e38.4,72,0.3304320110957406,0.8762658621806301,1.4443243128385665,1.110142399784515,78.41244307488371,0.6471771430827096,0.4758037730058885,636065.3113252884,0.9416466435295805,0.34162626431405085
f300_w0.9_k5-15_e5,72,0.39005400741739216,0.9176535365290233,1.1700044761271822,1.045903041227629,87.46909049130393,0.6768362670339595,0.5191704396593436,593241.4879166504,0.9554464421965831,0.35734500479642173
f300_w0.9_k5-5_e4,72,0.4262122825212608,0.9283933391833313,1.2746627675087716,1.0254789988978255,90.48534113763584,0.6657875426341034,0.5183476461388895,615518.6025038292,0.9605332408923379,0.3956865362073192
f300_w0.75_k48-48_e38.4,72,0.3497678910392882,0.8848743582839321,1.184092784896543,1.1143782375307114,78.74626256327245,0.6455557947123238,0.49136395641788067,636093.1359124759,0.9611997382662661,0.3462352068207614
f225_w0.75_k48-48_e38.4,72,0.35262838504412236,0.8868188552113332,1.448204495986891,1.1081186645346646,79.46824817085881,0.6454911209068218,0.4927365159040039,636086.4815251243,0.961610888685596,0.34904760841753035
f225_w0.1_k48-48_e38.4,72,0.39455192143322715,0.8570418360225026,1.5805215939044603,1.16447771362457,72.22382250817476,0.6433323885565474,0.4846518154423223,635876.7921028808,0.9618945848760985,0.28125334985042283
f225_w0.25_k48-48_e38.4,72,0.36603915637961343,0.8374646589806802,1.637354969557131,1.2582556391927502,64.93756843164472,0.6414833820192581,0.46331417658044516,635902.7478970904,0.9625072719501102,0.24574205216281825
f75_w0.1_k48-48_e38.4,72,0.4029731205106461,0.8552234160314153,1.5257878705487562,1.16447771362457,72.06412915792964,0.6422544022073522,0.48484437054979207,635881.104424938,0.9625264237812711,0.2832166806359526
f0_w0.1_k48-48_e38.4,72,0.4029731205106461,0.8552234160314153,1.5257878705487562,1.16447771362457,72.06412915792964,0.6422544022073522,0.48484437054979207,635881.104424938,0.9625264237812711,0.2832166806359526
f150_w0.25_k48-48_e38.4,72,0.36601348228992914,0.8346165991273897,1.5683296599657548,1.2588606687631427,64.67696213951713,0.6402621075312579,0.4628885828367469,635904.2192998049,0.9626233502905979,0.246483170603781
f150_w0.1_k48-48_e38.4,72,0.40294427005425726,0.8558407043267946,1.5257878705487562,1.16447771362457,72.11443658368009,0.6424198342931023,0.4852072011500154,635881.0613106957,0.962886249376693,0.28302345433550913
f75_w0.75_k48-48_e38.4,72,0.3526235428669771,0.8874526176457045,1.448204495986891,1.1081186645346646,79.52544082130818,0.6453438769683955,0.49381961624470894,636088.5093713473,0.962951039405834,0.34948150846300263
f0_w0.75_k48-48_e38.4,72,0.3526235428669771,0.8874526176457045,1.448204495986891,1.1081186645346646,79.52544082130818,0.6453438769683955,0.49381961624470894,636088.5093713473,0.962951039405834,0.34948150846300263
