_row_excel,siat_finalidade_descricao,siat_area_terreno,crawler_area_terreno,__area_total_lote_efetiva,__regra_area_lote
413,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,242.23,242.23,área da unidade negociada em condomínio
550,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,756.44,756.44,área da unidade negociada em condomínio
562,TERRENOS CONDOMINIO HORIZ ABERTO SEM AREA USO COMUM,420.0,84.0,84.0,área da unidade negociada em condomínio
856,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,15535.62,200.0,200.0,área da unidade negociada em condomínio
1151,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,683.84,683.84,área da unidade negociada em condomínio
1628,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,203.41,203.41,área da unidade negociada em condomínio
1807,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
1942,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,169.69,169.69,área da unidade negociada em condomínio
2132,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,742.93,742.93,área da unidade negociada em condomínio
2428,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1083.74,1083.74,área da unidade negociada em condomínio
2895,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14057.42,177.69,177.69,área da unidade negociada em condomínio
3168,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,718.49,718.49,área da unidade negociada em condomínio
3170,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,611.39,611.39,área da unidade negociada em condomínio
3265,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.85,508.85,área da unidade negociada em condomínio
3302,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9356.0,256.89,256.89,área da unidade negociada em condomínio
3309,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1368.98,1368.98,área da unidade negociada em condomínio
3646,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21706.54,436.29,436.29,área da unidade negociada em condomínio
3827,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,8601.11,169.58,169.58,área da unidade negociada em condomínio
4071,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1576.85,1576.85,área da unidade negociada em condomínio
4288,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,265.51,265.51,área da unidade negociada em condomínio
4297,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,8601.11,169.58,169.58,área da unidade negociada em condomínio
4374,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,15535.62,137.5,137.5,área da unidade negociada em condomínio
4980,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21706.54,503.55,503.55,área da unidade negociada em condomínio
5001,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1083.74,1083.74,área da unidade negociada em condomínio
5084,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19729.0,222.37,222.37,área da unidade negociada em condomínio
5088,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,25258.11,234.37,234.37,área da unidade negociada em condomínio
5347,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,25258.11,234.18,234.18,área da unidade negociada em condomínio
5468,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,484.91,484.91,área da unidade negociada em condomínio
6081,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1235.69,1235.69,área da unidade negociada em condomínio
6083,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,583.1,583.1,área da unidade negociada em condomínio
6902,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,162.99,162.99,área da unidade negociada em condomínio
8497,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,589.84,589.84,área da unidade negociada em condomínio
8688,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,206.99,206.99,área da unidade negociada em condomínio
9076,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,611.39,611.39,área da unidade negociada em condomínio
9489,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,154.42,154.42,área da unidade negociada em condomínio
9618,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,327.37,327.37,área da unidade negociada em condomínio
9883,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,142.5,142.5,área da unidade negociada em condomínio
9916,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,281262.0,917.24,917.24,área da unidade negociada em condomínio
10417,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,206.99,206.99,área da unidade negociada em condomínio
10763,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,554.02,554.02,área da unidade negociada em condomínio
11820,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1013.76,1013.76,área da unidade negociada em condomínio
12613,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1012.5,1012.5,área da unidade negociada em condomínio
12890,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,15535.62,137.5,137.5,área da unidade negociada em condomínio
12966,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,540.0,540.0,área da unidade negociada em condomínio
13168,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,0.0,,área da unidade em condomínio ausente
13838,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,210.15,210.15,área da unidade negociada em condomínio
13843,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21706.54,546.9,546.9,área da unidade negociada em condomínio
14222,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,210.15,210.15,área da unidade negociada em condomínio
14383,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,265.51,265.51,área da unidade negociada em condomínio
14559,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1586.7,1586.7,área da unidade negociada em condomínio
14810,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,247.88,247.88,área da unidade negociada em condomínio
15203,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1586.7,1586.7,área da unidade negociada em condomínio
15226,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,154.42,154.42,área da unidade negociada em condomínio
15993,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
16063,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1012.5,1012.5,área da unidade negociada em condomínio
16256,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1047.7,1047.7,área da unidade negociada em condomínio
16259,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1012.5,1012.5,área da unidade negociada em condomínio
16760,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1012.5,1012.5,área da unidade negociada em condomínio
16761,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1047.7,1047.7,área da unidade negociada em condomínio
16874,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
17156,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,623.01,623.01,área da unidade negociada em condomínio
17611,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,33677.6,189.0,189.0,área da unidade negociada em condomínio
17855,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21706.54,436.29,436.29,área da unidade negociada em condomínio
18163,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,46180.62,608.86,608.86,área da unidade negociada em condomínio
18471,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,69568.0,320.38,320.38,área da unidade negociada em condomínio
18784,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,247.88,247.88,área da unidade negociada em condomínio
18786,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
18871,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,69568.0,320.38,320.38,área da unidade negociada em condomínio
19270,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,540.0,540.0,área da unidade negociada em condomínio
19286,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,583.02,583.02,área da unidade negociada em condomínio
19577,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,11887.7,301.25,301.25,área da unidade negociada em condomínio
19609,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,11887.7,301.25,301.25,área da unidade negociada em condomínio
20413,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,760.09,760.09,área da unidade negociada em condomínio
21147,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,18381.0,280.12,280.12,área da unidade negociada em condomínio
21862,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,561.07,561.07,área da unidade negociada em condomínio
21864,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1586.7,1586.7,área da unidade negociada em condomínio
21865,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1586.7,1586.7,área da unidade negociada em condomínio
22400,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,217.02,217.02,área da unidade negociada em condomínio
22813,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,166.2,166.2,área da unidade negociada em condomínio
23794,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,247.88,247.88,área da unidade negociada em condomínio
23810,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
23949,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1035.75,1035.75,área da unidade negociada em condomínio
24205,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,210.15,210.15,área da unidade negociada em condomínio
