config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f0_w0.9_k12-12_e9.6,72,0.43145748785842364,0.7741953733910714,1.7400657522605099,1.1020817135560617,69.71175771239912,1.417537040363889,0.5480490892024542,506031.45406422816,0.9453893561137692,-0.006707638412310179
f0_w0.45_k8-8_e6.4,72,0.41309912819001393,0.7884440787759553,1.8123803429773568,1.0574477702197453,74.50533924679735,1.4269890049275404,0.5604632349299694,485829.5472323828,0.9524390201940711,0.013939348298387652
f0_w0.6_k8-24_e8,72,0.4114346967707154,0.8132903119477455,1.8421119288496388,1.0459738295373624,77.62733874930386,1.4389868872964058,0.5597250743878273,508479.3381701948,0.9582372518903368,-0.025014074304174003
f0_w0.9_k5-15_e5,72,0.4889565290961989,0.7847314497127519,1.3879053187427877,1.0394472078510875,75.22042741640283,1.3953578038587118,0.5860017658263271,552636.5587758747,0.9599727911347679,0.11255225571538661
f0_w0.6_k8-8_e6.4,72,0.41992158641816835,0.8289711514139113,1.8734252561208091,1.0113526879569643,81.95275373499499,1.4085811941942863,0.5799058590065415,492705.63405292813,0.9617235845128496,0.06444383819849268
f0_w0.9_k16-48_e16,72,0.4039921770052296,0.8182662416354992,2.3249062486209247,1.091424190825405,74.35380695040158,1.4650795464680189,0.5412927784120709,478079.0096931995,0.961873785487453,-0.07697964558034291
f0_w0.75_k8-24_e8,72,0.3937125732333385,0.7973566200297308,1.842200491259888,1.1086409147393552,70.95863127188349,1.421738258315701,0.5577182898680481,486302.48580916156,0.9626224243246647,-0.0331299862728994
f0_w0.6_k12-12_e9.6,72,0.4222817589134544,0.7896765070961291,1.9160805129756533,1.1002201315894735,71.09704951146057,1.4551534326644049,0.5499304910127663,500538.42611133837,0.9629839280297523,-0.05904644546136859
f0_w0.45_k8-24_e8,72,0.40354911912052377,0.8338193696527896,1.8443454844595242,1.0577901121120696,78.54483778517312,1.4513485741886327,0.5537261718876523,546265.2960913655,0.9644258200389197,0.003283678141484247
f0_w0.9_k8-24_e8,72,0.4165562185247931,0.7824002330005659,1.7441087239013942,1.1277468283006857,68.40398169832068,1.4307245582315367,0.5576726305549466,519127.7396162203,0.9678839272595995,-0.014396423118396754
f0_w0.9_k24-24_e19.2,72,0.4403339071857702,0.8311226597433925,2.4099575797833084,1.1261032333781356,72.10726333204477,1.4346430108992458,0.5495055355571754,473566.6171231224,0.9696133200838288,-0.09272047327243989
f0_w0.6_k16-16_e12.8,72,0.3828205658258966,0.8033600130771329,1.927166204863421,1.1517877927228546,68.13865766713121,1.4627981069247087,0.5422221750616818,497071.1398708338,0.9734020446029011,-0.06899311030295197
f0_w0.75_k5-15_e5,72,0.5176022320411504,0.7938039035379891,1.7081042746078583,1.0879227067904915,72.48819107767139,1.3861657388342024,0.5880206605498354,510498.3270632242,0.9746469275761598,0.08304512421959759
f0_w0.75_k16-16_e12.8,72,0.4027897512191156,0.8032558774262459,2.0006023354604117,1.1394601127888144,69.53076845353446,1.4652564794570933,0.5447192493289807,498352.9131012899,0.9748386021648765,-0.0703378059956577
f0_w0.9_k16-16_e12.8,72,0.41975678397847793,0.8214815880263993,2.053073528234312,1.123885368510686,71.87531562358332,1.4682733846364924,0.5449604308420477,499222.33559868694,0.9750881714660437,-0.051063344301578995
f0_w0.9_k5-5_e4,72,0.4895297939900104,0.8137268997831081,1.3093700509412325,1.0258916585475004,79.18789934575575,1.3811726970500569,0.604011740366706,553007.3321042546,0.9762290207293426,0.14620224752030408
f350_w0.45_k8-8_e6.4,72,0.42521139014624154,0.8336563801838185,1.9766157232884811,1.1458609892539577,71.75356601343141,1.4326991027903957,0.5515197986934126,460656.388127019,0.9787619436217841,-0.03879756226021145
f0_w0.6_k5-15_e5,72,0.5463205586074683,0.8100409038649775,1.716770625034241,1.0776403297142054,74.94171556943763,1.3768473131690908,0.5947903692008137,550853.6462798952,0.9794297085370716,0.11136162217913947
f0_w0.25_k5-15_e5,72,0.43909214660563745,0.8284201253750226,2.333862038307698,1.0459416770496623,79.08029851574969,1.369918852492294,0.6024625220348101,538619.1594936351,0.9799978244930789,0.10364214184324526
f350_w0.9_k16-16_e12.8,72,0.40835309247298396,0.8798815115125022,2.738768060240721,1.1171845154829496,77.2725350874076,1.4384139649273635,0.5538044716262392,434015.5220151477,0.9841622034560622,-0.043999255869304595
