finalidade,n_teste,n_disponivel_periodo_teste,k_min,k_max,n_efetivo_min,peso_fisico,peso_geografico,piso_rs_m2,k_min_atual,k_max_atual,peso_fisico_atual,piso_atual,piso_fixo_validacao,tipo_teste,status,mdape_atual,mdape_candidato,cod_atual,cod_candidato,prd_atual,prd_candidato,razao_mediana_atual,razao_mediana_candidato,prb_candidato,ganho_mdape,ganho_ic95_inferior,ganho_ic95_superior
APARTAMENTO,350,1907,32,32,25.6,0.1,0.9,2400.0,12,25,0.45,1200.0,1200.0,novo_alvo_nao_avaliado_na_rodada_bruta,Candidato exploratório; ganho não confirmado,0.17620470261564575,0.1672800606300675,30.35718437829511,29.764443435384663,1.0536420113757323,1.0596717543955048,0.9522746588917625,0.962673182667644,0.01696752171629457,0.008924641985578241,-0.00608599028706174,0.029500175706924
CASA / RESIDÊNCIA,196,492,5,15,5.0,0.25,0.75,0.0,5,40,0.85,800.0,800.0,novo_alvo_nao_avaliado_na_rodada_bruta,Candidato exploratório; ganho não confirmado,0.32052879112284194,0.29970323029285184,58.334049190039735,58.604882766484536,1.286877591948596,1.2851800118761993,1.1497539290725514,1.0783169254051383,-0.0822510259194452,0.020825560829990097,-0.028519289845307494,0.060218204840158975
COBERTURA,75,75,16,16,12.8,0.25,0.75,0.0,12,25,0.45,900.0,900.0,reutilizado_condicionado_ao_piso_fixo,Candidato exploratório; ganho não confirmado,0.20108276550390403,0.20395866433322674,36.852926736589666,36.99447618117457,1.2038542918821702,1.2302039483760452,0.9927932801567602,1.0000640727921912,-0.09563593294546632,-0.0028758988293227095,-0.0448749427194064,0.04240719664383192
CONSTRUÇÃO EM ÁREA DE GLEBA,0,0,12,25,11.0,0.45,0.55,100.0,12,25,0.45,100.0,100.0,reutilizado_condicionado_ao_piso_fixo,Sem amostra suficiente; manter provisoriamente,,,,,,,,,,,,
FLAT / APART-HOTEL,0,11,12,25,11.0,0.45,0.55,1200.0,12,25,0.45,1200.0,1200.0,reutilizado_condicionado_ao_piso_fixo,Sem amostra suficiente; manter provisoriamente,,,,,,,,,,,,
GALPÃO / DEPÓSITO,0,8,12,25,11.0,0.45,0.55,650.0,12,25,0.45,650.0,650.0,reutilizado_condicionado_ao_piso_fixo,Sem amostra suficiente; manter provisoriamente,,,,,,,,,,,,
GARAGEM / VAGA,0,2,7,30,5.0,0.6666666666666666,0.33333333333333337,150.0,7,30,0.6666666666666666,150.0,150.0,reutilizado_condicionado_ao_piso_fixo,Sem amostra suficiente; manter provisoriamente,,,,,,,,,,,,
GARAGEM / VAGA NÃO RESIDENCIAL,80,80,48,48,38.400000000000006,0.6666666666666666,0.33333333333333337,0.0,7,30,0.6666666666666666,150.0,150.0,reutilizado_condicionado_ao_piso_fixo,Candidato exploratório; ganho não confirmado,0.4340096601967259,0.3771753161843569,90.4069005965592,93.70945638244989,1.6656293279765864,1.7152657045271413,0.99993065622234,0.9939304666126423,-0.9063282514309863,0.056834344012368976,-0.08302894895604207,0.08938291244344812
GARAGEM / VAGA RESIDENCIAL,350,940,7,30,5.0,0.6666666666666666,0.33333333333333337,200.0,7,30,0.6666666666666666,200.0,200.0,novo_alvo_nao_avaliado_na_rodada_bruta,Manter: perfil atual venceu a validação,0.25708936211936895,0.25708936211936895,51.60697219267526,51.60697219267526,1.3113191757600806,1.3113191757600806,0.9901070337676179,0.9901070337676179,-0.13775523340961032,0.0,0.0,0.0
GLEBA,0,4,12,25,11.0,0.45,0.55,20.0,12,25,0.45,20.0,20.0,reutilizado_condicionado_ao_piso_fixo,Sem amostra suficiente; manter provisoriamente,,,,,,,,,,,,
HOTEL,0,3,12,25,11.0,0.45,0.55,400.0,12,25,0.45,400.0,400.0,reutilizado_condicionado_ao_piso_fixo,Sem amostra suficiente; manter provisoriamente,,,,,,,,,,,,
