config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f450_w0.6_k32-32_e25.6,72,0.3143902480749316,0.48722842831384106,1.1956232285245463,1.0948909766879829,43.34361506934772,1.527698546047958,0.4027622185024775,464804.25269918586,0.7683298453288468,-0.27398200126145855
f0_w0.6_k32-32_e25.6,72,0.3183969632240511,0.4906764709323117,1.1951001148508202,1.0811380684534795,44.194321671856265,1.5426922695017964,0.40932309654397836,484568.85334391106,0.7755805859259227,-0.276102096392056
f450_w0.9_k5-15_e5,72,0.3470670217494884,0.47175607811111586,0.9478724969653456,1.0846202640131777,42.366309176434704,1.5818545258547567,0.40445359996968505,559092.8094723424,0.780283296871403,-0.2789280184771745
f900_w0.6_k32-32_e25.6,72,0.3140039915772986,0.4968362455529298,1.4225548026050396,1.1100904590552592,43.29542342964125,1.5360888494905445,0.4055819607499399,463613.9901699754,0.780661011534572,-0.2813136849965331
f900_w0.9_k24-24_e19.2,72,0.32523676154166464,0.4976690519008485,1.3341491556716956,1.0899125106132093,44.57832392301556,1.5691563302209999,0.4021553018897617,492817.73092131334,0.7819188782806735,-0.2987822746474993
f450_w0.45_k5-15_e5,72,0.4041007812688194,0.4764205705983855,0.8324456763354925,1.0339908006923744,45.82865827414054,1.5768128017986345,0.42337431110559387,560825.9325404784,0.7823616942417577,-0.2474858828137407
f900_w0.75_k24-24_e19.2,72,0.3032985369906869,0.4898181107860706,1.3393465837195713,1.109380653057725,43.143553891896154,1.5478293610027292,0.4043646548793492,489528.1027694067,0.7825512528910078,-0.2815638103762104
f450_w0.6_k9-20_e15,72,0.31592643957650046,0.47461577181701525,1.0825123676506847,1.1274830875565565,40.724910855778276,1.5417368549633514,0.40488938928803075,516871.7285742671,0.7831503669955184,-0.25392429699846686
f900_w0.9_k5-15_e5,72,0.3419364851025022,0.4777497198304419,1.1396729929559353,1.084633574146772,42.917244935489464,1.5869199298965442,0.4048991963995516,559132.9743326491,0.7837109071342468,-0.2836995079117671
f450_w0.75_k32-32_e25.6,72,0.30509903739025523,0.4930958276392638,1.1850833030964596,1.118853739170048,42.66536930604383,1.539801500845787,0.4052097547358284,467815.8741658802,0.7838522913113617,-0.28703039058579893
f450_w0.6_k24-24_e19.2,72,0.34944394935124257,0.4817830426681271,1.158312832780786,1.1254916565773099,41.42846524563464,1.5347362238672977,0.4072872788802215,493301.44250125386,0.7841476886943763,-0.26340490811421946
f450_w0.45_k32-32_e25.6,72,0.34083807703318714,0.505339822357702,1.2993195816663745,1.0974518997043208,45.032708525161006,1.532435081754073,0.411862450173613,458802.99657554924,0.7843687538766576,-0.27691152236391103
f450_w0.9_k24-24_e19.2,72,0.3255700306868722,0.49558627972172864,1.2766708003661398,1.0901886878766915,44.58423842344206,1.5720111275505735,0.4044768408187562,502886.00529113726,0.7852907178672583,-0.2921514567534496
f450_w0.75_k24-24_e19.2,72,0.3064530173368969,0.4862410513844573,1.2827418633419287,1.1093906783221954,42.89533380302251,1.5520467088122138,0.4067586539814952,500192.44890859985,0.7856897101621579,-0.2765172049809963
f450_w0.6_k16-16_e12.8,72,0.3284973289275773,0.4724159912265452,1.054115385032951,1.1217919469132505,40.83686810090678,1.5561153429232495,0.40548993573261904,535649.0071621723,0.7861420610844385,-0.254582032825435
f900_w0.75_k16-16_e12.8,72,0.3137578780199627,0.48876209893667955,1.3745035614190855,1.0933643624021872,43.46391660424215,1.5685561133302224,0.40794696541830294,523446.5651054717,0.7863142752961895,-0.2866220747321505
