config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f0_w0.9_k12-25_e11,72,2.556154177887301,49.3098283404934,18.246112995384262,3.556154177887301,1359.526643379529,1.9154871001129923,1.6652875240671525,87886023.44557482,6.023429944757848,19.015728457665162
f0_w0.9_k12-12_e9.6,72,2.556154177887301,49.64537849223215,18.246112995384262,3.556154177887301,1368.962402768851,1.9282741579164004,1.6657105386295845,87886023.7178249,6.0507690745474685,19.007693099220038
f0_w0.75_k12-25_e11,72,2.228061686566208,49.0965106166925,18.37399661243526,3.228061686566208,1496.9602993247024,1.9092052365424879,1.5960770637513357,87885722.56781039,6.247762266566033,20.313100229976758
f0_w0.75_k12-12_e9.6,72,2.228061686566208,49.26966695169947,18.37399661243526,3.228061686566208,1502.324395547757,1.9158114883044641,1.5962839810594243,87885722.71602565,6.263106543240872,20.310292536753565
f0_w0.9_k12-36_e12,72,2.620345048969161,54.88661615263018,16.05381340220267,3.620345048969161,1488.5890663162534,1.8096143882139217,1.674492099196162,106281235.4063877,6.335806323029179,22.967417013206912
f0_w0.9_k16-48_e16,72,2.621601793020747,55.74706549162576,18.926007188143398,3.621601793020747,1512.877918864052,1.8430606998829606,1.6728416546935942,105873748.48361929,6.404208464725449,22.910179355518782
f0_w0.75_k16-48_e16,72,2.384495417406173,53.58613910906028,16.68093977764173,3.384495417406173,1558.607304123557,1.7738882884108518,1.621462765533724,105873973.94770464,6.414170396488795,24.026427546327486
f0_w0.9_k16-16_e12.8,72,2.7328815115521086,57.923936392806,19.524866143929565,3.7328815115521086,1525.532878127748,1.841593214959499,1.670292186507906,110993173.20435542,6.448030148466286,23.345040166523034
f0_w0.6_k12-12_e9.6,72,1.9289813955582613,48.539644705202214,14.26501289679163,2.928981395558261,1635.112271448325,1.8901455607701563,1.5120846791301774,87884419.30387191,6.455519636953594,21.993640924818337
f0_w0.75_k5-5_e4,72,2.1738323001704827,51.844584035863335,15.955291344379855,3.1738323001704827,1613.5778412797383,1.887998550352453,1.5713685619400202,94382642.76156737,6.500541707701643,22.33487007511418
f0_w0.6_k12-25_e11,72,1.9289813955582613,49.06024885249399,14.26501289679163,2.928981395558261,1652.8865102359553,1.910032212897796,1.5126893602444587,87884419.76241845,6.50579304749764,21.98970831174816
f0_w0.75_k16-16_e12.8,72,2.4737982518373345,56.42246133511206,15.935901810690389,3.4737982518373345,1600.4916694351034,1.7959749118382768,1.6104814380040744,110993102.04865469,6.527108908225968,24.54245080666492
f0_w0.9_k5-5_e4,72,2.5373359072009087,56.96785845473812,15.957566638191317,3.5373359072009087,1588.0783036022503,2.056874741856747,1.6822803269841333,94384506.70942523,6.644756881214404,19.92342904824393
f0_w0.75_k12-36_e12,72,2.2097094245639575,55.726519697220155,17.96667713324763,3.2097094245639575,1711.840222707191,1.8400742834771755,1.6023479032682473,106280523.92442799,6.76994163671765,25.347546698002933
f0_w0.6_k16-16_e12.8,72,2.1817748365496485,56.09479934917587,14.190036225823581,3.1817748365496485,1740.2639416892348,1.7880129133988278,1.5632862878952318,110992973.43220422,6.783218174510151,26.62627070471703
f0_w0.45_k12-12_e9.6,72,1.9046151019613966,51.3326205959403,32.001867226623766,2.9046151019613964,1747.6036150505436,1.9767166926948858,1.5418213220564299,87885217.97383872,6.784699419083969,21.604715923380617
f0_w0.6_k16-48_e16,72,1.9483048659334368,53.03569749085116,14.099717208816708,2.9483048659334368,1775.2373968972886,1.7590534343780226,1.5511383256249962,105872989.35660587,6.81223493110425,27.3238124043719
f0_w0.45_k12-25_e11,72,1.9046151019613966,51.8448447729665,32.001867226623766,2.9046151019613964,1765.238453369752,1.9960833400917837,1.5424164576062502,87885218.42485537,6.8342564995678075,21.59863361039561
f0_w0.25_k12-12_e9.6,72,1.8674472618620324,51.75318603290892,31.899839830017086,2.8674472618620324,1786.7738307380403,1.9918549857969214,1.5217166269699187,87880178.61200935,6.859895472010804,21.530564111707935
f0_w0.75_k5-15_e5,72,2.441184658577556,60.68351185534146,15.815210623098714,3.441184658577556,1743.5634501029963,1.7612096780714392,1.6023813587821667,121798763.95211269,6.862198323857835,26.56301086031527
f0_w0.9_k32-32_e25.6,72,2.600700842537398,61.572413273881544,25.88521592108343,3.600700842537398,1681.595192131173,1.8719637876160695,1.7078372695673207,116429769.3173208,6.865883519216949,26.16099014265508
f0_w0.9_k8-8_e6.4,72,2.6176527359284476,62.57876050151846,20.36847590528317,3.6176527359284476,1705.194812424177,1.9268733608854995,1.693676406305364,114466274.20496882,6.92752547188305,24.683531883786813
f0_w0.6_k12-36_e12,72,1.9736610538565718,54.95370355553127,16.385510719201303,2.9736610538565715,1825.393584809331,1.8148664079470747,1.5322487170834929,106278661.05408058,6.9386355452708015,26.883600841938318
f0_w0.25_k12-25_e11,72,1.823318479289134,52.25240749708165,31.899839830017086,2.823318479289134,1832.5458672468674,2.0107797880851583,1.5210978916335867,87880178.514146,6.970680339709125,21.871053482831503
f0_w0.75_k8-8_e6.4,72,2.4295382197002926,61.77388421741078,15.460908947730848,3.4295382197002926,1779.1488061653627,1.904861149299937,1.612282483099452,114463401.63311824,6.998571868865408,25.025300339771693
f0_w0.75_k48-48_e38.4,72,2.600529550454125,64.34080626108775,27.31178288584461,3.600529550454125,1761.7028319380508,1.85588853515155,1.6630109508026036,123057772.07605107,7.016990284678532,27.129626618254026
f0_w0.6_k5-5_e4,72,1.7347166351385073,51.71862760877035,20.396032739044262,2.7347166351385073,1872.6092084706781,1.8852653661541625,1.5318127714185654,94382143.83186853,7.0333839987964435,25.34354926389562
f0_w0.6_k48-48_e38.4,72,2.4747989447846734,63.064491885109874,24.313402441389172,3.4747989447846734,1792.695473313465,1.818305003604856,1.6335468581898611,123057653.25895765,7.037006226558647,27.656209152784427
f0_w0.45_k5-5_e4,72,1.7629655691208879,53.18069032601309,32.424585042662684,2.7629655691208876,1906.9334820578363,1.9293278787010855,1.5396757789730602,94386346.31621751,7.143747622786985,24.45535122021781
f0_w0.9_k24-24_e19.2,72,2.470167411935839,65.12455036099449,19.249920746139406,3.470167411935839,1848.867937217397,1.7527161734686674,1.6799467333591507,132658605.92744331,7.204801337457174,30.285094041314508
f0_w0.75_k32-32_e25.6,72,2.2468383150336404,61.66173320017146,25.837480573970833,3.2468383150336404,1872.2872478988027,1.8714806307840752,1.6436246844196754,116428566.95728336,7.226548601885075,28.423735305429297
f0_w0.9_k48-48_e38.4,72,2.9504495043319645,71.19508784553062,25.641867926618417,3.9504495043319645,1771.8018009627765,2.051802609941929,1.7603075466261129,123059125.33074299,7.2360860988829,25.409942961919754
f0_w0.45_k12-36_e12,72,1.9729677905404905,58.13414629626906,35.460265858632134,2.9729677905404905,1935.0471728576804,1.8993196184150483,1.562658981511179,106279875.46382236,7.2658051318727175,25.7857135736828
f0_w0.9_k5-15_e5,72,2.5099651559804776,67.00356212273408,15.815420316659422,3.5099651559804776,1885.630263696717,1.9350323556602096,1.6962291537569762,121799974.40619071,7.368169891984161,26.54929649491055
f0_w0.6_k32-32_e25.6,72,2.1199570866908686,61.89587410019639,22.416136444134402,3.1199570866908686,1959.1256449980258,1.879769986665217,1.5888480278036228,116428886.20824839,7.3711464749483575,29.080726427894568
f0_w0.6_k8-8_e6.4,72,2.0792029499792273,61.40033204830294,13.430000693983153,3.0792029499792273,1971.7494262514406,1.893826605446235,1.5923435727671817,114463906.03038456,7.403352249495494,27.630120335254958
f0_w0.6_k5-15_e5,72,1.9655896925217171,60.77719230468155,18.793037907447808,2.965589692521717,2031.4309018668703,1.7634718801259872,1.5708215617459713,121798933.3139024,7.476579027534776,30.22347600366018
f0_w0.45_k16-48_e16,72,1.9204121909129583,59.279226836078756,36.97755576684535,2.920412190912958,2007.536930829103,1.9407766921678038,1.6064756986443167,105877376.81819572,7.492724534382479,26.502536245077486
f0_w0.75_k24-24_e19.2,72,2.1904255791564546,65.00572955790287,19.027044036193256,3.1904255791564546,2012.5318330085083,1.7499226888281463,1.6111310963033127,132657498.13696142,7.502323642544243,32.4114799226088
f0_w0.45_k8-8_e6.4,72,2.0395329306215313,63.429417276202486,33.45917538054367,3.0395329306215313,2067.35280995685,1.9408752765177077,1.617868369128875,114468028.64789921,7.673671847601508,26.885617755724336
f0_w0.9_k8-24_e8,72,2.407387483256584,70.51761997177474,27.6583766938394,3.407387483256584,2043.853291327867,1.7345837775238508,1.689204427492724,146192338.30003703,7.68719433114263,34.13650018020907
f0_w0.45_k16-16_e12.8,72,1.9113431340833724,61.58172480618334,36.254121846836995,2.9113431340833724,2092.964762125724,1.9374191002223689,1.6017083640241965,110996618.2896584,7.699105899064582,27.870975549804925
f0_w0.75_k8-24_e8,72,2.3060401317278156,69.71915442275758,15.525880633858424,3.3060401317278156,2085.789690233197,1.7148414516359618,1.6215554375641519,146190517.00732073,7.703565546498356,33.72808449050427
f0_w0.25_k12-36_e12,72,1.6892606918481605,59.075174229223535,29.519438564699445,2.6892606918481605,2177.175469610318,1.9300225951584695,1.5299850556797416,106279788.39744389,7.796322744845319,28.14923422091238
