config,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
f0_w0.6_k16-48_e16,72,1.6410702311844225,15.034641184208065,10.75995677935271,2.6410702311844227,552.8116803888768,4.734639726490806,1.3584091924894717,1133469.3259896508,4.003483324473025,-2.2889303101726073
f300_w0.1_k5-15_e5,72,2.4461134485303595,18.86225446320096,15.576939408089011,3.4461134485303595,526.778010020542,3.9516315769684183,1.3905046648465738,1852598.8904539,4.013137495125259,-1.6960635141908311
f100_w0.1_k16-48_e16,72,1.7521203101694744,17.106634203534952,13.068040495572395,2.7521203101694747,600.706171829288,4.227239176376853,1.3024676675989302,1554409.259677752,4.031193466905146,-0.8628974471674243
f200_w0.1_k5-15_e5,72,2.261082256886347,18.70425451073303,15.575113193307828,3.261082256886347,554.3991036891076,4.081235844388626,1.3531139944219035,1836697.6763422168,4.0333412369006005,-1.6524235987584412
f0_w0.75_k16-48_e16,72,1.7732820591977232,15.503533048777074,11.341405084253985,2.773282059197723,540.7129931171417,4.700331505970072,1.4091723698502632,1138316.6988959357,4.044787111212034,-2.4278333838273425
f400_w0.1_k5-15_e5,72,2.4288031309655134,19.06261389378336,15.57548112670724,3.4288031309655134,533.0981117912964,4.062359357516192,1.4227180647827504,1836213.2498875298,4.0724509373822,-1.8787669858039593
f0_w0.9_k12-25_e11,72,1.9236351063750408,16.784907928867526,11.61107346558666,2.9236351063750408,555.7902274440313,5.172799274125472,1.3280971603938685,1074285.7436857098,4.07569359357527,-2.6560178466106064
f0_w0.9_k12-36_e12,72,1.858211686763976,16.07580330151766,11.435010561076043,2.858211686763976,543.9178143674968,5.031061089886099,1.387837451024476,1058866.1203610897,4.080545516463068,-2.610250892458926
f100_w0.1_k5-5_e4,72,1.725552751204913,17.815317575306615,9.509914395099512,2.725552751204913,637.9001699376065,4.517647474816409,1.2343980247818935,1493177.5260051175,4.084479769727449,-1.4804118437143958
f100_w0.25_k16-48_e16,72,2.052348954424935,18.174530179693313,14.394270566977701,3.052348954424935,572.0482956177691,4.3994272634917975,1.362554632569321,1478852.3263166195,4.091368275744756,-1.5803675503089336
f0_w0.9_k12-12_e9.6,72,1.9236351063750408,17.120458080606276,11.61107346558666,2.9236351063750408,567.2673830920489,5.270331730110046,1.3285201749563003,1074308.0159066168,4.114149157156943,-2.6765322691298117
f100_w0.1_k5-15_e5,72,1.7543839600458553,18.187032788854395,9.783629042842634,2.754383960045855,644.4734629485147,4.243783810606528,1.2757719371679181,1686272.9522497102,4.1162801390784125,-0.9749407789064422
f400_w0.1_k12-25_e11,72,2.575349366522344,19.916513434332252,11.806188256131094,3.575349366522344,534.0706350611849,4.171174493802834,1.4384479551474958,1739374.6227921206,4.12475481560875,-1.2683896665152927
f400_w0.1_k12-12_e9.6,72,2.575349366522344,19.93459421696813,11.806188256131094,3.575349366522344,534.5763417986908,4.174765513452823,1.4384695681949926,1739375.4045069735,4.126470966969549,-1.2697262260690176
f100_w0.45_k8-24_e8,72,1.807182248981872,18.03827197228486,10.455816796376782,2.807182248981872,619.4476915420979,3.8723673266654917,1.396326470186188,1668116.629625372,4.137969326149596,-0.9995979448727053
f200_w0.1_k5-5_e4,72,1.8076120671045464,18.21721592824423,14.153985700072443,2.8076120671045466,627.9090005953587,4.535679091903914,1.3010300631756908,1492452.6359753432,4.142957135097615,-2.208588250930557
f100_w0.45_k12-12_e9.6,72,2.2058983788142132,18.887997150450047,12.275128726788324,3.2058983788142132,564.0536180820372,4.387528033683302,1.4116007900128462,1438157.9296806452,4.143614002573802,-2.055655307675817
f100_w0.25_k8-24_e8,72,2.1004496280877984,19.20014561516908,10.758753914221817,3.1004496280877984,599.5464509300698,4.398260609800688,1.3402012977237723,1592126.8771630689,4.145445569601019,-1.5332821282010907
f200_w0.25_k8-24_e8,72,2.671946209765988,20.077094255752357,14.060183670965827,3.671946209765988,521.9345638524521,4.362655054667093,1.4599225300360164,1605774.4565653352,4.151660266371362,-2.1087874152376833
f100_w0.25_k12-25_e11,72,1.9848819783945386,18.567770364978898,11.809175906055838,2.9848819783945384,598.0342434079128,4.371654913513423,1.376751746409437,1467489.8416324225,4.156188276929389,-1.2709061363485694
f400_w0.25_k8-24_e8,72,2.848803942065635,20.424067431996225,15.284918986213402,3.848803942065635,504.95828971093096,4.129320364068091,1.51241698329688,1676242.4205248868,4.157750341728196,-2.1027618628529745
f0_w0.6_k16-16_e12.8,72,1.6385764790320867,16.428141633631014,11.094432036437796,2.6385764790320865,606.298119949503,5.158983090746024,1.3505982856396075,1151625.8199910314,4.171833107452257,-2.4000277861008144
f300_w0.1_k5-5_e4,72,2.0723140679985796,19.55024109666332,14.84749413959078,3.0723140679985796,615.9073557674728,4.186446088351465,1.3554901900634972,1877843.590795982,4.172400194890687,-1.5152082303906091
f100_w0.25_k12-36_e12,72,2.2118218825881755,19.396751300949056,13.076645562364268,3.2118218825881755,580.4071328053477,4.476412820091698,1.395290879230919,1496334.3108237933,4.179138889591211,-1.2543273603384966
f400_w0.1_k5-5_e4,72,2.2848182707601676,19.842009059667546,14.846547823228182,3.2848182707601676,580.5161154649956,4.197281789410164,1.4185745944299555,1876571.4152499544,4.181739109218893,-1.79836723091294
f200_w0.1_k12-25_e11,72,2.331239421114571,19.980148241956275,11.904588376996253,3.331239421114571,577.2110395006519,4.528189726604965,1.3911957630771037,1574647.262021024,4.191056698854541,-1.3465906066603852
f100_w0.1_k12-36_e12,72,2.00732712365264,19.247653814807162,11.45966928884536,3.00732712365264,621.125243632107,4.654891347105157,1.3189848635366443,1513361.2055982708,4.1912831000221376,-1.0866989374269498
f0_w0.6_k24-24_e19.2,72,1.424031307063776,16.142441703210874,13.632198387469227,2.424031307063776,649.1125883761184,4.699351369340264,1.3545133358744315,1347233.3045597065,4.193723044938681,-2.0240321292900116
f100_w0.1_k12-25_e11,72,1.8997482695412116,18.919718052822827,9.743358440116669,2.8997482695412113,633.049005286092,4.61706479004848,1.3142856224556745,1480616.3387672468,4.194099688659405,-0.960012575486762
f100_w0.25_k12-12_e9.6,72,1.9848819783945386,18.911837679724,11.809175906055838,2.9848819783945384,609.5612423725472,4.448264600838747,1.3771829264422193,1467506.6599845805,4.194123157680701,-1.2932551879143561
f300_w0.1_k12-25_e11,72,2.3322831295201576,20.021393909264216,13.651066009171887,3.3322831295201576,577.6113204236469,4.4441222447140865,1.4026394329185767,1630710.6089804498,4.194287770352841,-1.3785985348985748
f100_w0.1_k16-16_e12.8,72,1.8232171346888917,18.79606661318111,12.198760333066819,2.8232171346888917,645.972251747361,4.594295901385988,1.2980955118952282,1549062.737989867,4.194372428862983,-0.7713581079916856
f100_w0.1_k12-12_e9.6,72,1.8997482695412116,18.936911435192677,9.743358440116669,2.8997482695412113,633.6419320084025,4.621039027155935,1.3143061993172729,1480617.2109818629,4.196032782877809,-0.9606234881296926
f100_w0.25_k16-16_e12.8,72,2.0242129033803344,19.073694625731783,13.330068344247785,3.0242129033803344,607.705129689948,4.596032429370981,1.3632071101235124,1444996.894096702,4.198392072526639,-1.640705396979697
f0_w0.75_k16-16_e12.8,72,1.6989412776179,16.86455198562371,11.413407945834656,2.6989412776179,606.993123880314,5.084615446003466,1.381461435496689,1166179.0674907137,4.208483734287471,-2.3141896237360084
f200_w0.1_k12-36_e12,72,2.215448970206665,19.846338742798366,13.44920511234296,3.215448970206665,595.4569046102915,4.515366542575111,1.3822197369959062,1602510.4004963073,4.208588680219045,-1.3930592675117737
f300_w0.25_k8-24_e8,72,2.585351249131449,20.392640528714495,14.727071668671401,3.585351249131449,542.5073438250678,4.230445968547445,1.493425161133609,1657433.7100934193,4.209275452752343,-2.0927166086718234
f200_w0.1_k12-12_e9.6,72,2.331239421114571,20.180033166138145,11.904588376996253,3.331239421114571,583.2113564672119,4.571137239340593,1.391422229292763,1574657.334394031,4.211003848508773,-1.356700047608681
f300_w0.1_k8-24_e8,72,2.3543912473802475,20.25715011944759,11.983804896911835,3.3543912473802475,580.5020445410031,4.328860223921818,1.4226983440710503,1637587.0510870647,4.211740749027582,-1.4257938847357352
f300_w0.1_k12-12_e9.6,72,2.3322831295201576,20.22158460029239,13.651066009171887,3.3322831295201576,583.6189339200727,4.486257265909448,1.402866128391879,1630720.3549893587,4.214251701498795,-1.3890229268573802
f400_w0.1_k12-36_e12,72,2.46141895654067,20.67499985180961,13.958907210261566,3.46141895654067,574.4365211779723,4.21972393509484,1.4392096278796478,1819352.4554949678,4.21602508869002,-1.161238781493739
f100_w0.1_k8-24_e8,72,1.9646551767159424,19.602094747970185,10.62844547226083,2.9646551767159424,641.9054660257048,4.523959354549746,1.3148926590997148,1614378.897589106,4.2177304749595095,-1.0520226254309277
f300_w0.1_k16-16_e12.8,72,2.2245715793371006,20.265318533278627,13.728939759952153,3.2245715793371006,605.3978509599867,4.346316040045377,1.3903668263525735,1720290.241937579,4.223925802127468,-1.1435258927440342
f200_w0.1_k8-24_e8,72,2.1472655168687043,19.994361338824085,12.997403140459323,3.1472655168687043,612.5438678437226,4.395603895884451,1.3850340395983034,1642454.2897627696,4.2299631656332135,-1.3674327650726994
f300_w0.1_k12-36_e12,72,2.221150080402692,20.173958930518666,13.97676647406507,3.221150080402692,604.0997392688818,4.43019436826456,1.3998334260207963,1662963.8202892917,4.2391737352746475,-1.2571330251258752
f400_w0.1_k16-48_e16,72,2.376497961308858,20.671407369992256,15.498309838910425,3.376497961308858,587.2671842209072,4.169878335583233,1.4500218418730286,1811577.3025634408,4.240552765180419,-1.3840013376644187
f0_w0.75_k5-15_e5,72,1.454835384634725,17.232004992286043,10.241464034460694,2.454835384634725,685.2029087371625,5.263265934206445,1.253720954244939,1162587.7363071926,4.246133946091129,-1.8174775770639306
f400_w0.1_k8-24_e8,72,2.3786942268751803,20.801705402713665,13.155800308946441,3.3786942268751803,592.4528800293978,4.244017412036603,1.4415437709873586,1737102.164986687,4.254175788525013,-1.2242819860503762
f400_w0.1_k16-16_e12.8,72,2.271175841717864,20.582088416915806,13.896184507674347,3.271175841717864,604.2515493260958,4.219567888661802,1.4391206352424843,1807623.4588893375,4.2621906243830665,-1.2583223832749684
f300_w0.25_k16-16_e12.8,72,2.4403219653515786,20.872405731443052,17.930099406273907,3.4403219653515786,577.6429550327962,4.187488608249576,1.4844741513214528,1856053.8172367888,4.262414658060457,-1.458541650636381
f400_w0.45_k5-15_e5,72,2.9549820463855427,22.09591603286089,20.375600826559612,3.9549820463855427,534.8184344583104,4.263772515844342,1.5134973947114922,1960214.5561917273,4.263108679474429,-2.422173542117014
f0_w0.75_k8-24_e8,72,1.5830840044457437,17.857301205395895,12.523506397311376,2.5830840044457437,669.7464665080644,5.115675480354635,1.2982302801988181,1226232.5691520083,4.263243188987077,-2.6447730806250176
f200_w0.25_k12-25_e11,72,2.522625744195575,20.994864683865572,14.032782446546674,3.522625744195575,569.8862423222073,4.614838190290902,1.4637848402863738,1544854.4205743738,4.2827421797074585,-1.8528333792352505
f300_w0.45_k5-15_e5,72,2.7077629703606503,21.784111906541593,20.480849376718115,3.7077629703606503,564.0755927577267,4.318890037930152,1.486298690957914,1926485.786189952,4.2832012505459875,-2.5417290870062716
f300_w0.1_k16-48_e16,72,2.2882185262139894,21.10728131214139,15.129161131556524,3.2882185262139894,618.6050152620089,4.40218886890668,1.402717775942554,1770205.9667113358,4.285454226178757,-1.288397466054772
f0_w0.9_k8-24_e8,72,1.6387273855171196,18.226471163471555,13.670519004732558,2.63872738551712,667.4427951561182,5.230101118955935,1.31006987556603,1233727.5356982783,4.291040544602405,-2.6164698106915254
f100_w0.45_k8-8_e6.4,72,1.6570319585156659,18.89606954347258,9.854801003939684,2.657031958515666,688.9138894421161,4.248832815334013,1.357008215794165,1614365.622907467,4.291219943540656,-1.1727771695065554
f0_w0.9_k16-48_e16,72,1.6456574799192063,17.081527678888865,14.02605705038529,2.6456574799192065,627.6942791387205,5.3708768090001024,1.4011681044142161,1040172.6716000964,4.297359193958488,-2.7146559687934477
f200_w0.25_k16-16_e12.8,72,2.1811329772893453,20.49139002795444,15.345911888375142,3.1811329772893453,614.8933353705496,4.434093150171845,1.4463210722546904,1666490.6855731928,4.306834677999271,-1.53248978220441
f200_w0.1_k16-16_e12.8,72,1.9397281731598834,20.06528273349004,13.728130724435463,2.9397281731598834,658.5688445762254,4.5029286193076254,1.3701970194813913,1663079.3764195822,4.308141685098342,-1.1477439492332093
f0_w0.6_k12-12_e9.6,72,1.3918438467599474,17.11545898376036,9.654519746478439,2.391843846759947,699.5694906459452,5.155376161189691,1.3047217715557602,1172703.0373228542,4.309697816906726,-1.856467000710927
f0_w0.75_k5-5_e4,72,1.3674865497018227,17.409533265991122,9.040946199876728,2.3674865497018227,717.5299239732742,5.5622169681277285,1.228752302861844,1052191.6717382236,4.311489927245672,-1.9207374809969313
f0_w0.45_k24-24_e19.2,72,1.1497234218128412,16.08955304384723,12.984063159654472,2.1497234218128414,733.8647142054728,4.820808494934517,1.3134177231666608,1310996.6369615812,4.317219930871215,-1.5716590501304908
f400_w0.25_k16-16_e12.8,72,2.3043857867651045,21.096709819940582,18.172184288127262,3.3043857867651045,606.9215242219648,4.008363231497002,1.50989080889839,1962666.9026505325,4.319011418797496,-1.4057380794641146
f400_w0.25_k12-36_e12,72,2.564750211277956,21.57387296200627,15.0539084610457,3.564750211277956,576.2311184285624,4.239069344142076,1.5269182068212086,1772286.6635702602,4.325214870539665,-1.5750411593088276
f100_w0.1_k24-24_e19.2,72,1.6181123620007671,19.28592952430853,12.650427671231386,2.618112362000767,715.786221574505,4.790705445762387,1.2721542897566667,1464319.0497709138,4.326185474121711,-1.2723207890932915
f0_w0.9_k16-16_e12.8,72,1.6534390763877824,17.43905559557625,12.563471162582276,2.6534390763877824,638.5804218782009,5.49576129897364,1.391016745602304,1070707.7817364468,4.327384643051581,-2.7516079038627215
f400_w0.25_k8-8_e6.4,72,2.774915634155244,22.46295879417911,15.536718729398203,3.774915634155244,570.2981711892959,4.581402698121057,1.4772193626851053,1779221.4237276588,4.32815641620067,-2.3982597454124575
f0_w0.9_k24-24_e19.2,72,1.5768912935655899,17.317862976449202,14.677735911061358,2.57689129356559,652.6328346459801,5.208376969876912,1.398764397766551,1215506.6925583677,4.328772500675915,-2.8372126795129526
f0_w0.75_k24-24_e19.2,72,1.5005461995495397,17.2839674836503,13.649815267454647,2.5005461995495395,673.6331488704652,5.180348751179862,1.3660917952814744,1296079.4320224659,4.330865451616836,-2.416663248116044
f200_w0.1_k16-48_e16,72,2.104114087891947,20.841102718876492,13.15567511742557,3.104114087891947,647.312063203789,4.599332054372917,1.3838212259054476,1654503.3062400888,4.331421105987891,-1.3138726604453674
f0_w0.75_k12-25_e11,72,1.3496219479413338,17.293470596425536,10.656459762847353,2.349621947941334,718.9554948309641,5.20422483579536,1.2880683094946963,1115323.3791615046,4.337319649639052,-2.0997244236292802
f400_w0.6_k5-15_e5,72,2.7194597003610577,22.338783442788355,15.258033311648719,3.7194597003610577,574.6843314067335,4.202130328496586,1.5273982786043583,1978091.0758816178,4.338694123953605,-2.3378903058177314
f200_w0.25_k8-8_e6.4,72,2.5076357826004836,22.190317134388344,15.536599445343086,3.5076357826004836,610.2860407951471,4.781349666132686,1.404104083564771,1764542.9677667667,4.3396517395022,-2.2087526410703036
f0_w0.25_k8-8_e6.4,72,1.2536351525783491,17.05630274924799,11.269583819462104,2.253635152578349,745.237230441687,4.863957372504121,1.2820865911797144,1352427.9336543304,4.342378125592888,-0.8904358791366074
f300_w0.25_k12-36_e12,72,2.412844299071203,21.43550631091253,17.40822515800013,3.412844299071203,599.4260909740475,4.388451890889635,1.4938906621830148,1759376.6550303167,4.3457171743038945,-1.4687071877948064
f200_w0.25_k12-36_e12,72,2.363464946081005,21.289532900313517,13.357320941510883,3.363464946081005,604.8074420415802,4.6261802920513295,1.4707002197368995,1577355.2353131212,4.355070431470623,-1.4780602987218856
f0_w0.6_k5-5_e4,72,1.2155548474088977,16.997621622546866,8.815679224192161,2.2155548474088977,750.6685556133846,5.730831425957313,1.211287626745936,992543.6761025456,4.358640759924022,-2.025271154406292
f0_w0.75_k12-12_e9.6,72,1.3496219479413338,17.466626931432515,10.656459762847353,2.349621947941334,726.3250350737546,5.253498858178465,1.2882752268027846,1115335.058228274,4.360662187387111,-2.0981468601126503
f300_w0.25_k8-8_e6.4,72,2.6110364228297946,22.51712995876861,15.74457185894622,3.6110364228297946,599.7951980277562,4.664712731819279,1.4540718965813326,1772420.759731504,4.365570432560802,-2.331821999532372
f0_w0.6_k5-15_e5,72,1.1764187123637713,17.050042921318465,11.050887667935324,2.1764187123637715,768.3806329188114,5.2919051426856605,1.2278131684608495,1170401.5125504297,4.370694278194653,-1.4979202251030066
f200_w0.25_k16-48_e16,72,2.404860659928073,21.937277550133324,17.195896842485887,3.404860659928073,614.4923727899699,4.54419762689873,1.4651791074421507,1769365.702709089,4.3709376338560535,-1.6467542783548712
f100_w0.25_k24-24_e19.2,72,1.8709054654054544,20.45837926861994,13.425452961303417,2.870905465405454,687.4396232327173,4.852426704232509,1.3383513536452436,1519890.3883715477,4.374003613922126,-1.742519963888962
f0_w0.6_k8-24_e8,72,1.4942085983134534,18.401373352480594,11.079884677214409,2.4942085983134534,722.492149803918,5.220302374529494,1.2882086143009122,1276442.672941685,4.377702393907561,-1.9357060692690617
f0_w0.25_k8-24_e8,72,1.3117066599951288,17.574920918482988,11.370891431504283,2.311706659995129,747.2724891530962,4.675679237654431,1.319775805492689,1474408.1206384602,4.378137283005207,-0.6876877628247883
f400_w0.25_k16-48_e16,72,2.411797417114129,22.029370718069394,17.586633939642365,3.411797417114129,614.0110592802146,4.175539617731452,1.5151220545762574,1909785.793184511,4.378391129739742,-1.4369772245760557
f0_w0.6_k12-25_e11,72,1.3918438467599474,17.63606313105214,9.654519746478439,2.391843846759947,721.3352989781658,5.303879722737354,1.3053264526700414,1172737.4010992702,4.378916264325648,-1.8421042395070653
f0_w0.6_k12-36_e12,72,1.38272139482511,17.56100050467523,9.306748561628297,2.38272139482511,720.0002234508829,5.187468389100264,1.3232795825705324,1205579.9703296137,4.3805246759601255,-1.6905589737942095
f400_w0.45_k5-5_e4,72,2.745431328733056,23.02064379405686,20.21204109078799,3.745431328733056,589.196444603324,4.495303941470511,1.4963425606314216,2016473.388758321,4.381118706247749,-2.5902333293280284
f0_w0.45_k12-12_e9.6,72,1.2881009689782412,17.2787181209698,9.271520429457757,2.2881009689782412,741.4787293679528,5.151719470073662,1.2943741707629373,1204174.5829406742,4.381597363671391,-1.4902121111507036
f300_w0.25_k16-48_e16,72,2.4365068283043705,22.14234024380854,17.313670271372988,3.4365068283043705,613.4437028351895,4.394459911002888,1.4950726530089287,1852992.61475337,4.386081977603638,-1.6328561407740376
