purpose_antes,config_antes,fold_antes,row_excel,date_antes,group_antes,tile_antes,bairro_antes,area_antes,actual_antes,predicted_antes,k_antes,effective_antes,floor_antes,n_train_antes,discount_antes,error_antes,purpose_depois,config_depois,fold_depois,date_depois,group_depois,tile_depois,bairro_depois,area_depois,actual_depois,predicted_depois,k_depois,effective_depois,floor_depois,n_train_depois,discount_depois,error_depois
TERRENO,baseline,teste_reservado,159831,2026-08-03,10437053,-3354|-4929,hipica,125.0,98600.0,214092.1711493345,12,11.948618746266456,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-03,10437053,-3354|-4929,hipica,125.0,98600.0,214092.1711493345,12,11.948618746266456,200.0,97,0.0,
TERRENO,baseline,teste_reservado,159587,2026-08-04,100075347,-3341|-4928,bom jesus,333.88,70000.0,366261.0512051461,12,11.94413069737131,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-04,100075347,-3341|-4928,bom jesus,333.88,70000.0,366261.0512051461,12,11.94413069737131,200.0,97,0.0,
TERRENO,baseline,teste_reservado,159626,2026-08-04,100054273,-3337|-4923,sarandi,25258.11,860000.0,52685813.146921664,12,11.993860581656822,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-04,100054273,-3337|-4923,sarandi,234.18,860000.0,488590.9737604914,12,11.993632774991791,200.0,97,0.0,
TERRENO,baseline,teste_reservado,159946,2026-08-04,178454,-3336|-4924,sarandi,300.0,370000.0,356809.9503461762,13,11.597032882511169,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-04,178454,-3336|-4924,sarandi,300.0,370000.0,356809.9503461762,13,11.597032882511169,200.0,97,0.0,
TERRENO,baseline,teste_reservado,159899,2026-08-05,1618814,-3341|-4930,bela vista,286.0,1356000.0,1277986.9630107211,12,11.887658122233905,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-05,1618814,-3341|-4930,bela vista,286.0,1356000.0,1277986.9630107211,12,11.887658122233905,200.0,97,0.0,
TERRENO,baseline,teste_reservado,159922,2026-08-05,100088539,-3353|-4932,aberta dos morr,13501.82,149000.0,19482742.09647897,12,11.968813570425382,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-05,100088539,-3353|-4932,aberta dos morr,434.3,149000.0,910155.837470027,12,11.977214858809951,200.0,97,0.0,
TERRENO,baseline,teste_reservado,160807,2026-08-06,6799949,-3353|-4932,espirito santo,89985.0,315000.0,63450670.4650034,12,11.999741774732296,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-06,6799949,-3353|-4932,espirito santo,359.37,315000.0,352913.24164624204,12,11.936164661761769,200.0,97,0.0,
TERRENO,baseline,teste_reservado,160590,2026-08-07,2103060,-3360|-4929,belem novo,2215.0,320000.0,1570290.489594692,12,11.990983096209904,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-07,2103060,-3360|-4929,belem novo,2215.0,320000.0,1570290.489594692,12,11.990983096209904,200.0,97,0.0,
TERRENO,baseline,teste_reservado,161079,2026-08-08,1617095,-3338|-4932,floresta,296.0,420000.0,1546846.1092064674,12,11.97534039117906,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-08,1617095,-3338|-4932,floresta,296.0,420000.0,1546846.1092064674,12,11.97534039117906,200.0,97,0.0,
TERRENO,baseline,teste_reservado,160664,2026-08-10,100075346,-3341|-4928,bom jesus,335.31,65800.0,367853.37604741525,12,11.944282596152844,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-08-10,100075346,-3341|-4928,bom jesus,335.31,65800.0,367853.37604741525,12,11.944282596152844,200.0,97,0.0,
