conjunto;configuração;score;MdAPE;MdAPE_macro_finalidade;P90_APE;razão_mediana
Amostra completa;1.12;0,39800955772885116;0,33250646086564556;0,35277431179918667;1,2344279284093518;1,03218048269233
Amostra completa;global calibrada;0,34094000943769887;0,2968387422053438;0,303296086976878;0,9836076184269031;1,017934706331326
Amostra completa;híbrida 1.13;0,3359972034644704;0,2868793753155697;0,2861026995617953;1,0552957829713359;1,0186655645767435
Otimização;1.12;0,4051602367747599;0,3312479903312502;0,3810384464695272;1,1585198385275979;1,0408990580882933
Otimização;global calibrada;0,34756401669554465;0,29494316284710753;0,31829188251152174;0,9833488100321642;1,0184214014339932
Otimização;híbrida 1.13;0,34807815309540263;0,28711286356616017;0,30645281915237504;1,0836625261763884;1,0184214014339932
Confirmação;1.12;0,37301911281707645;0,33659527194449795;0,30144220197018323;1,2844697808148422;1,0186028087362302
Confirmação;global calibrada;0,35291275114813264;0,30786689808437945;0,3164740569814646;1,0209781447648143;1,0007278185428752
Confirmação;híbrida 1.13;0,3275646619532084;0,28236435897904755;0,28408870860482016;1,00261925227321;1,0222505908693285
Registros recentes;1.12;0,4384375598079839;0,37019416018326246;0,3957118009528639;1,272723684368183;1,0617958525802853
Registros recentes;global calibrada;0,38960062336972257;0,3375835613449987;0,3691873506070105;1,079201231527938;1,018938874699649
Registros recentes;híbrida 1.13;0,388326585312202;0,3032195816872788;0,3525757872469074;1,2423011143925329;1,0203687733883848
