finalidade_crawler_normalizada;piso_r_por_m2;criterio;periodo_base
APARTAMENTO;1200,00;piso consolidado da família apartamento;30/04/2026 a 30/07/2026
COBERTURA;900,00;piso consolidado das coberturas;30/04/2026 a 30/07/2026
FLAT / APART-HOTEL;1200,00;piso da família flat e apart-hotel;30/04/2026 a 30/07/2026
CASA / RESIDÊNCIA;800,00;menor piso conservador da família residencial;30/04/2026 a 30/07/2026
LOJA;700,00;menor piso conservador da família lojas;30/04/2026 a 30/07/2026
LOJA EM GALERIA;1000,00;piso específico de lojas em galeria;30/04/2026 a 30/07/2026
LOJA EM SHOPPING;1200,00;piso específico de lojas em shopping;30/04/2026 a 30/07/2026
SALA COMERCIAL;900,00;piso consolidado de salas comerciais;30/04/2026 a 30/07/2026
IMÓVEL COMERCIAL;850,00;piso de unidades comerciais genéricas;30/04/2026 a 30/07/2026
GALPÃO / DEPÓSITO;650,00;piso de depósitos, armazéns e imóveis industriais;30/04/2026 a 30/07/2026
TERRENO;200,00;piso consolidado dos terrenos;30/04/2026 a 30/07/2026
GLEBA;20,00;piso consolidado das glebas;30/04/2026 a 30/07/2026
CONSTRUÇÃO EM ÁREA DE GLEBA;100,00;piso específico da finalidade;30/04/2026 a 30/07/2026
GARAGEM / VAGA;150,00;menor piso conservador da família estacionamento;30/04/2026 a 30/07/2026
GARAGEM / VAGA RESIDENCIAL;200,00;piso conservador dos espaços de estacionamento residenciais;30/04/2026 a 30/07/2026
GARAGEM / VAGA NÃO RESIDENCIAL;150,00;piso conservador dos espaços de estacionamento não residenciais;30/04/2026 a 30/07/2026
HOTEL;400,00;piso da família hospedagem;30/04/2026 a 30/07/2026
IMÓVEL ESPECIAL;400,00;piso conservador da finalidade heterogênea;30/04/2026 a 30/07/2026
