finalidade_crawler_normalizada;natureza_uso_normalizada
APARTAMENTO;RESIDENCIAL
COBERTURA;RESIDENCIAL
FLAT / APART-HOTEL;RESIDENCIAL
CASA / RESIDÊNCIA;RESIDENCIAL
GARAGEM / VAGA RESIDENCIAL;RESIDENCIAL
LOJA;NÃO RESIDENCIAL
LOJA EM GALERIA;NÃO RESIDENCIAL
LOJA EM SHOPPING;NÃO RESIDENCIAL
SALA COMERCIAL;NÃO RESIDENCIAL
IMÓVEL COMERCIAL;NÃO RESIDENCIAL
GALPÃO / DEPÓSITO;NÃO RESIDENCIAL
GARAGEM / VAGA NÃO RESIDENCIAL;NÃO RESIDENCIAL
HOTEL;NÃO RESIDENCIAL
TERRENO;TERRITORIAL
GLEBA;TERRITORIAL
CONSTRUÇÃO EM ÁREA DE GLEBA;TERRITORIAL
GARAGEM / VAGA;INDETERMINADA
IMÓVEL ESPECIAL;INDETERMINADA
